,Column Labels,,,,,,,,,,,,,,,,,
,0,,1,,2,,3,,4,,5,,6,,7,,Total Average of total_return,Total Count of ticker
Row Labels,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,,
Communication Services,-0.1403295,9,-1.197454733,5,1.172817646,6,,,,,,,,,1.191889177,1,0.046597899,21
Consumer Discretionary,-0.175744283,24,-1.033400745,14,1.345323552,11,0.226625302,8,,,,,,,0.791583239,4,0.017908545,61
Consumer Staples,-0.319119775,4,-1.371694274,7,0.770497188,2,-0.027097874,12,,,,,0.288535041,1,0.457854225,6,-0.207089336,32
Energy,-0.126304507,9,-1.125537633,9,1.231099809,2,0.841960718,3,-0.168513194,1,,,,,0.658743383,4,-0.136144184,28
Financials,-0.033854807,12,-0.893226075,22,0.770802789,22,-0.390998665,5,,,,,,,0.204599001,3,-0.069386973,64
Health Care,-0.129851238,16,-0.803646518,15,1.085011083,9,0.587885233,11,,,,,0.290723834,1,0.65060692,10,0.143488916,62
Industrials,-0.157847638,13,-0.719780504,22,0.908324198,13,0.184342182,4,0.578432282,1,2.775294242,2,,,0.40736265,12,0.084712918,67
Information Technology,-0.13159058,21,-1.070039157,20,1.05322724,15,-1.413462885,1,-0.312159043,1,0.570950549,1,0.846250497,1,0.780613821,7,-0.047908968,67
Materials,-0.075903321,6,-0.883060428,8,1.848507056,5,-0.647506074,4,,,,,,,0.715562573,1,-0.006326241,24
Real Estate,-0.122599527,9,-0.757068753,8,0.953165221,9,0.558856965,2,,,,,,,0.681322662,4,0.164423306,32
Utilities,-0.212736787,8,-0.980206977,11,1.136566976,4,0.454047512,1,,,,,,,0.188661759,4,-0.240328878,28
(blank),,,,,3.066000269,,,,,,,,,,,,3.066000269,
Grand Total,-0.140870663,131,-0.943485947,141,1.066680138,98,0.133943085,51,0.032586682,3,2.040513011,3,0.475169791,3,0.560863143,56,-1.03043E-16,486
